# y, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
-9.983180761337280273e-01 7.878706674091517925e-04 2.622748911380767822e-02 8.235303539549931884e-05 4.970995712280273438e+01 1.469006296247243881e-02 -1.708897616481408477e-04 2.209339290857315063e-03 -2.204877673648297787e-04 5.505212811840465292e-06 -1.813268065452575684e-01 -1.767076668329536915e-03 1.206630608066916466e-03 -1.348964997305301949e-05 -4.204730885248864070e-06 -1.348964997305301949e-05 1.914721224238746800e-06 1.203885204859034275e-07 -4.204730885248864070e-06 1.203885204859034275e-07 3.671960730571299791e-04 8.401591330766677856e-02 1.928661731653846800e-06 -3.226300759706646204e-04
-9.981275796890258789e-01 9.640500647947192192e-04 2.584082260727882385e-02 9.433391824131831527e-05 4.959741592407226562e+01 1.620012894272804260e-02 -2.048409514827653766e-04 2.463523996993899345e-03 -2.630360831972211599e-04 -1.455900655855657533e-05 -1.790987849235534668e-01 -2.011517295613884926e-03 1.488917390815913677e-03 -1.865287958935368806e-05 -5.196307029109448195e-06 -1.865287958935368806e-05 2.784599018923472613e-06 1.637470035120713874e-07 -5.196307029109448195e-06 1.637470035120713874e-07 4.363980551715940237e-04 9.347516298294067383e-02 2.373534925936837681e-06 -3.569609543774276972e-04
-9.979370832443237305e-01 1.155166188254952431e-03 2.545779384672641754e-02 1.048354533850215375e-04 4.946241378784179688e+01 1.765924878418445587e-02 -2.404546103207394481e-04 2.725290134549140930e-03 -3.074640117119997740e-04 -3.685193951241672039e-05 -1.768677234649658203e-01 -2.265323651954531670e-03 1.798245008103549480e-03 -2.494857653800863773e-05 -6.273265626077773049e-06 -2.494857653800863773e-05 3.887075308739440516e-06 2.153217337763635442e-07 -6.273265626077773049e-06 2.153217337763635442e-07 5.082002026028931141e-04 1.029108464717864990e-01 2.867520379368215799e-06 -3.908665094058960676e-04
-9.977276325225830078e-01 1.381518784910440445e-03 2.503573335707187653e-02 1.150728785432875156e-04 4.928614807128906250e+01 1.919800974428653717e-02 -2.811234735418111086e-04 3.021531039848923683e-03 -3.580270858947187662e-04 -6.317886436590924859e-05 -1.743974089622497559e-01 -2.554375212639570236e-03 2.168168080970644951e-03 -3.327388913021422923e-05 -7.543538686149986461e-06 -3.327388913021422923e-05 5.396263077273033559e-06 2.816740618527546758e-07 -7.543538686149986461e-06 2.816740618527546758e-07 5.894732312299311161e-04 1.132526025176048279e-01 3.468624299785005860e-06 -4.276533145457506180e-04
-9.975182414054870605e-01 1.623583026230335236e-03 2.460459060966968536e-02 1.243723527295514941e-04 4.907831954956054688e+01 2.065770886838436127e-02 -3.229950380045920610e-04 3.326018108054995537e-03 -4.099753277841955423e-04 -9.053183748619630933e-05 -1.718886494636535645e-01 -2.852933248504996300e-03 2.567371586337685585e-03 -4.314812031225301325e-05 -8.885880561138037592e-06 -4.314812031225301325e-05 7.242782885441556573e-06 3.580140912617935101e-07 -8.885880561138037592e-06 3.580140912617935101e-07 6.725515704602003098e-04 1.235519647598266602e-01 4.133587935939431190e-06 -4.639094404410570860e-04
-9.972898960113525391e-01 1.903973636217415333e-03 2.412835508584976196e-02 1.360504393232986331e-04 4.881492233276367188e+01 2.215224504470825195e-02 -3.694616025313735008e-04 3.663101466372609138e-03 -4.677751276176422834e-04 -1.200750775751657784e-04 -1.691138595342636108e-01 -3.187205642461776733e-03 3.033720888197422028e-03 -5.576401235884986818e-05 -1.041069572238484398e-05 -5.576401235884986818e-05 9.672551641415338963e-06 4.521247944921924500e-07 -1.041069572238484398e-05 4.521247944921924500e-07 7.645539008080959320e-04 1.347292959690093994e-01 4.931741386826615781e-06 -5.028431187383830547e-04
-9.970615506172180176e-01 2.199768554419279099e-03 2.364893816411495209e-02 1.521340018371120095e-04 4.851240158081054688e+01 2.353730611503124237e-02 -4.161541583016514778e-04 4.000704269856214523e-03 -5.263046477921307087e-04 -1.477543846704065800e-04 -1.663041263818740845e-01 -3.528185188770294189e-03 3.529550274834036827e-03 -7.036733586573973298e-05 -1.197525762108853087e-05 -7.036733586573973298e-05 1.256534960702992976e-05 5.566272989199205767e-07 -1.197525762108853087e-05 5.566272989199205767e-07 8.574214880354702473e-04 1.458420753479003906e-01 5.806200078950496390e-06 -5.411406164057552814e-04
-9.968143105506896973e-01 2.535183448344469070e-03 2.312346361577510834e-02 1.775442942744120955e-04 4.813912582397460938e+01 2.490156330168247223e-02 -4.662665596697479486e-04 4.361943341791629791e-03 -5.899604875594377518e-04 -1.737186685204505920e-04 -1.632223278284072876e-01 -3.902441589161753654e-03 4.095749463886022568e-03 -8.844547119224444032e-05 -1.368351877317763865e-05 -8.844547119224444032e-05 1.624550168344285339e-05 6.798595109103189316e-07 -1.368351877317763865e-05 6.798595109103189316e-07 9.583721403032541275e-04 1.577913016080856323e-01 6.840803962404606864e-06 -5.818765494041144848e-04
-9.965670704841613770e-01 2.884026151150465012e-03 2.260330878198146820e-02 2.157521666958928108e-04 4.771937942504882812e+01 2.612184546887874603e-02 -5.150193464942276478e-04 4.710305016487836838e-03 -6.532389088533818722e-04 -1.936289481818675995e-04 -1.601284593343734741e-01 -4.277921747416257858e-03 4.688346292823553085e-03 -1.088871285901404917e-04 -1.538162359793204814e-05 -1.088871285901404917e-04 2.052202216873411089e-05 8.116625735965499189e-07 -1.538162359793204814e-05 8.116625735965499189e-07 1.059183734469115734e-03 1.696425080299377441e-01 7.961848496051970869e-06 -6.218524067662656307e-04
-9.963009357452392578e-01 3.271521069109439850e-03 2.204848453402519226e-02 2.764718665275722742e-04 4.721537399291992188e+01 2.726416848599910736e-02 -5.649856175296008587e-04 5.062120500952005386e-03 -7.202215492725372314e-04 -2.056475641438737512e-04 -1.568083912134170532e-01 -4.679490812122821808e-03 5.350167397409677505e-03 -1.334758708253502846e-04 -1.716534279694315046e-05 -1.334758708253502846e-04 2.581101580290123820e-05 9.602798627383890562e-07 -1.716534279694315046e-05 9.602798627383890562e-07 1.167063717730343342e-03 1.822762638330459595e-01 9.263923857361078262e-06 -6.640221108682453632e-04
-9.960347414016723633e-01 3.668724559247493744e-03 2.151445485651493073e-02 3.616334579419344664e-04 4.665997695922851562e+01 2.823408134281635284e-02 -6.112224073149263859e-04 5.379864946007728577e-03 -7.850716938264667988e-04 -2.066705346805974841e-04 -1.535333245992660522e-01 -5.072677042335271835e-03 6.031755357980728149e-03 -1.606792357051745057e-04 -1.888564293039962649e-05 -1.606792357051745057e-04 3.183246008120477200e-05 1.113609528147208039e-06 -1.888564293039962649e-05 1.113609528147208039e-06 1.273860922083258629e-03 1.947718113660812378e-01 1.065360265783965588e-05 -7.053276058286428452e-04
-9.957497119903564453e-01 4.100976046174764633e-03 2.096465416252613068e-02 4.864725924562662840e-04 4.601013183593750000e+01 2.907783351838588715e-02 -6.552566774189472198e-04 5.670027341693639755e-03 -8.510772022418677807e-04 -1.927887788042426109e-04 -1.501219123601913452e-01 -5.478395614773035049e-03 6.776224356144666672e-03 -1.925398391904309392e-04 -2.063170359178911895e-05 -1.925398391904309392e-04 3.910035593435168266e-05 1.279873572457290720e-06 -2.063170359178911895e-05 1.279873572457290720e-06 1.386627438478171825e-03 2.079801112413406372e-01 1.223116214532637969e-05 -7.485967944376170635e-04
-9.954646825790405273e-01 4.537290893495082855e-03 2.045448310673236847e-02 6.475340342149138451e-04 4.530807113647460938e+01 2.973576821386814117e-02 -6.923635373823344707e-04 5.898296367377042770e-03 -9.123636409640312195e-04 -1.641945564188063145e-04 -1.468292027711868286e-01 -5.860642995685338974e-03 7.529919967055320740e-03 -2.270571421831846237e-04 -2.227396907983347774e-05 -2.270571421831846237e-04 4.722717858385294676e-05 1.446790179215895478e-06 -2.227396907983347774e-05 1.446790179215895478e-06 1.497434801422059536e-03 2.209960818290710449e-01 1.388051896356046200e-05 -7.909132982604205608e-04
-9.951607584953308105e-01 5.002690013498067856e-03 1.994999684393405914e-02 8.643881301395595074e-04 4.450605773925781250e+01 3.024134971201419830e-02 -7.226855377666652203e-04 6.059551145881414413e-03 -9.710213053040206432e-04 -1.159714884124696255e-04 -1.434960514307022095e-01 -6.234003696590662003e-03 8.335377089679241180e-03 -2.665100328158587217e-04 -2.390108966210391372e-05 -2.665100328158587217e-04 5.683502240572124720e-05 1.623931893846020103e-06 -2.390108966210391372e-05 1.623931893846020103e-06 1.613167696632444859e-03 2.346451431512832642e-01 1.570145104778930545e-05 -8.350236457772552967e-04
-9.948568344116210938e-01 5.465270485728979111e-03 1.950168237090110779e-02 1.124997274018824100e-03 4.365550231933593750e+01 3.057028353214263916e-02 -7.422655471600592136e-04 6.127657834440469742e-03 -1.021890784613788128e-03 -5.349210186977870762e-05 -1.403279155492782593e-01 -6.563138216733932495e-03 9.136867709457874298e-03 -3.084304626099765301e-04 -2.541082903917413205e-05 -3.084304626099765301e-04 6.741601100657135248e-05 1.800637619453482330e-06 -2.541082903917413205e-05 1.800637619453482330e-06 1.726257265545427799e-03 2.480444163084030151e-01 1.755525772750843316e-05 -8.781455107964575291e-04
-9.945340156555175781e-01 5.949616897851228714e-03 1.908499374985694885e-02 1.449759001843631268e-03 4.270538330078125000e+01 3.074669092893600464e-02 -7.499199709855020046e-04 6.087392568588256836e-03 -1.066445722244679928e-03 2.620144186948891729e-05 -1.371504813432693481e-01 -6.855389103293418884e-03 9.976151399314403534e-03 -3.552838170435279608e-04 -2.689476968953385949e-05 -3.552838170435279608e-04 7.970728620421141386e-05 1.988703161259763874e-06 -2.689476968953385949e-05 1.988703161259763874e-06 1.843375153839588165e-03 2.619866430759429932e-01 1.952957063622307032e-05 -9.229105780832469463e-04
-9.942112565040588379e-01 6.422272883355617523e-03 1.871883869171142578e-02 1.819994766265153885e-03 4.171577072143554688e+01 3.078361414372920990e-02 -7.420575711876153946e-04 5.917025264352560043e-03 -1.099208020605146885e-03 1.140554668381810188e-04 -1.341366469860076904e-01 -7.074148859828710556e-03 1.079432014375925064e-02 -4.041398351546376944e-04 -2.827303796948399395e-05 -4.041398351546376944e-04 9.305132698500528932e-05 2.181325498895603232e-06 -2.827303796948399395e-05 2.181325498895603232e-06 1.957173924893140793e-03 2.756098210811614990e-01 2.147110535588581115e-05 -9.667000267654657364e-04
-9.938696026802062988e-01 6.908466573804616928e-03 1.840253174304962158e-02 2.253878861665725708e-03 4.063251876831054688e+01 3.068968653678894043e-02 -7.169617456384003162e-04 5.597861018031835556e-03 -1.123132766224443913e-03 2.083038561977446079e-04 -1.310558468103408813e-01 -7.223449647426605225e-03 1.163433585315942764e-02 -4.576237115543335676e-04 -2.964209852507337928e-05 -4.576237115543335676e-04 1.083194438251666725e-04 2.390972895227605477e-06 -2.964209852507337928e-05 2.390972895227605477e-06 2.074278192594647408e-03 2.896797955036163330e-01 2.344373024243395776e-05 -1.011979649774730206e-03
-9.935279488563537598e-01 7.375599816441535950e-03 1.813446544110774994e-02 2.723915269598364830e-03 3.952292633056640625e+01 3.050680644810199738e-02 -6.724028498865664005e-04 5.120041314512491226e-03 -1.134856254793703556e-03 2.930123300757259130e-04 -1.279951930046081543e-01 -7.271856069564819336e-03 1.243880670517683029e-02 -5.124922608956694603e-04 -3.094453495577909052e-05 -5.124922608956694603e-04 1.247094332939013839e-04 2.612150865388684906e-06 -3.094453495577909052e-05 2.612150865388684906e-06 2.187683247029781342e-03 3.033713400363922119e-01 2.527806645957753062e-05 -1.056249486282467842e-03
-9.931675195693969727e-01 7.846502587199211121e-03 1.790780946612358093e-02 3.249735571444034576e-03 3.833206558227539062e+01 3.023327328264713287e-02 -6.050002411939203739e-04 4.451873246580362320e-03 -1.137224026024341583e-03 3.636742185335606337e-04 -1.247125566005706787e-01 -7.214152719825506210e-03 1.324623171240091324e-02 -5.713963764719665051e-04 -3.227262277505360544e-05 -5.713963764719665051e-04 1.431919372407719493e-04 2.858043444575741887e-06 -3.227262277505360544e-05 2.858043444575741887e-06 2.303582150489091873e-03 3.174010217189788818e-01 2.700844379432965070e-05 -1.101808738894760609e-03
-9.928070306777954102e-01 8.293654769659042358e-03 1.773589663207530975e-02 3.796754172071814537e-03 3.712874984741210938e+01 2.989338897168636322e-02 -5.173734389245510101e-04 3.623285330832004547e-03 -1.132697914727032185e-03 4.063922388013452291e-04 -1.212952211499214172e-01 -7.045380771160125732e-03 1.400859188288450241e-02 -6.308984593488276005e-04 -3.357786408741958439e-05 -6.308984593488276005e-04 1.628622994758188725e-04 3.116304242212208919e-06 -3.357786408741958439e-05 3.116304242212208919e-06 2.415854483842849731e-03 3.310036361217498779e-01 2.847147698048502207e-05 -1.146149239502847195e-03
-9.924277067184448242e-01 8.735861629247665405e-03 1.758706197142601013e-02 4.384547472000122070e-03 3.586000442504882812e+01 2.949088998138904572e-02 -4.033261211588978767e-04 2.580673201009631157e-03 -1.123832189477980137e-03 4.088165296707302332e-04 -1.174422279000282288e-01 -6.744372192770242691e-03 1.475700084120035172e-02 -6.936953868716955185e-04 -3.494850170682184398e-05 -6.936953868716955185e-04 1.847694366006180644e-04 3.401220283194561489e-06 -3.494850170682184398e-05 3.401220283194561489e-06 2.529951976612210274e-03 3.448454141616821289e-01 2.965173734992276877e-05 -1.191451796330511570e-03
-9.920483827590942383e-01 9.149647317826747894e-03 1.747746020555496216e-02 4.972994327545166016e-03 3.459552001953125000e+01 2.903654985129833221e-02 -2.702636702451854944e-04 1.393234357237815857e-03 -1.115988940000534058e-03 3.651685547083616257e-04 -1.133060678839683533e-01 -6.330208387225866318e-03 1.545107737183570862e-02 -7.562169339507818222e-04 -3.632541847764514387e-05 -7.562169339507818222e-04 2.078789402730762959e-04 3.694578708746121265e-06 -3.632541847764514387e-05 3.694578708746121265e-06 2.640338614583015442e-03 3.582087457180023193e-01 3.041508898604661226e-05 -1.235229196026921272e-03
-9.916502237319946289e-01 9.552653878927230835e-03 1.738657616078853607e-02 5.578972399234771729e-03 3.328176116943359375e+01 2.851376496255397797e-02 -1.126102870330214500e-04 1.323091146332444623e-05 -1.113066799007356167e-03 2.640151651576161385e-04 -1.086046174168586731e-01 -5.781617481261491776e-03 1.611964963376522064e-02 -8.211117237806320190e-04 -3.778173049795441329e-05 -8.211117237806320190e-04 2.333592856302857399e-04 4.007427378382999450e-06 -3.778173049795441329e-05 4.007427378382999450e-06 2.752297557890415192e-03 3.717222213745117188e-01 3.071272658417001367e-05 -1.279438496567308903e-03
-9.912521243095397949e-01 9.922954253852367401e-03 1.729934476315975189e-02 6.157579366117715836e-03 3.199115562438964844e+01 2.792508713901042938e-02 5.933551074122078717e-05 -1.464092638343572617e-03 -1.124558853916823864e-03 1.011007334454916418e-04 -1.035076379776000977e-01 -5.134734790772199631e-03 1.672588661313056946e-02 -8.850039448589086533e-04 -3.923067197320051491e-05 -8.850039448589086533e-04 2.599765721242874861e-04 4.318572337069781497e-06 -3.923067197320051491e-05 4.318572337069781497e-06 2.860044827684760094e-03 3.847126662731170654e-01 3.041451236640568823e-05 -1.321659306995570660e-03
