# y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
0.000000000000000000e+00 4.812310443580229370e-07 2.516484834408170834e-01 0.000000000000000000e+00 9.999986178210674703e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.509945016220431994e-34 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.849189461256958136e-34 1.382862808566930101e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.871946291763556786e-02 3.573042774382136988e-04 2.496732596134209892e-01 0.000000000000000000e+00 9.999546250537432179e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.626071231595127954e-04 -5.955458784427440938e-08 0.000000000000000000e+00 -5.955458784427440938e-08 3.507267051801630826e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.134218302969532046e-04 4.517089933518244477e-02 0.000000000000000000e+00 0.000000000000000000e+00
2.516618993246350078e-01 9.637177655466547602e-03 2.409560815774767772e-01 0.000000000000000000e+00 9.997089803532783758e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.104335695386770948e-02 -1.668320922772530024e-05 0.000000000000000000e+00 -1.668320922772530024e-05 5.861158108652951409e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.547173981902295423e-03 2.636017156136641337e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.742701388503129278e-01 7.691113084054129745e-02 2.253348461553101312e-01 0.000000000000000000e+00 9.985807694877270047e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.036010799640969954e-01 -5.062137030063627993e-04 0.000000000000000000e+00 -5.062137030063627993e-04 4.479966916546451766e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.798571272552903055e-02 7.866966261814449801e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.645081622720975023e+00 3.125099231117913767e-01 2.075231538086808603e-01 0.000000000000000000e+00 9.927209739757699714e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.607926662048991151e-01 -5.036235016585591424e-03 0.000000000000000000e+00 -5.036235016585591424e-03 7.062468983145331119e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.405196889538102012e-01 1.654046706010840584e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.863793051893217978e+00 8.514451047905085002e-01 1.863346133353216139e-01 0.000000000000000000e+00 9.696041132048770494e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.341868248854144019e+00 -2.606220755776804052e-02 0.000000000000000000e+00 -2.606220755776804052e-02 4.611936728560457263e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.277227220270423902e-01 2.851293355334219015e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.429979955608904341e+00 1.750997373389804768e+00 1.616235458444512108e-01 0.000000000000000000e+00 9.083267484421071458e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.890652883651553040e+00 -8.519898472977194270e-02 0.000000000000000000e+00 -8.519898472977194270e-02 1.760150575999928912e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.764423230527337960e-01 4.324815389633107188e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.343096839236118889e+00 2.862910909884227806e+00 1.444450344197749647e-01 0.000000000000000000e+00 7.967855576856536226e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.837153658473345885e+00 -1.953648816022273138e-01 0.000000000000000000e+00 -1.953648816022273138e-01 4.726729161549934194e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.487491003709882742e-01 5.957437987174169614e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.602477374262202048e+00 3.887488876296483209e+00 1.392315457995572936e-01 0.000000000000000000e+00 6.491821954486187707e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.581681431593633391e+00 -3.419600667610426248e-01 0.000000000000000000e+00 -3.419600667610426248e-01 9.985920845389453793e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118189075966506962e+00 7.586836574480767759e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.120733463037253941e+01 4.602286523603127399e+00 1.371342994581445929e-01 0.000000000000000000e+00 4.971273434062227770e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.683013525741093197e+00 -4.923668831625875875e-01 0.000000000000000000e+00 -4.923668831625875875e-01 1.779022470081612073e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.370220293702216985e+00 9.069083833166192932e+00 0.000000000000000000e+00 0.000000000000000000e+00
