# y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
2.021587241307347903e-14 4.939437735206429414e-06 1.776632001621044343e-01 0.000000000000000000e+00 9.999710421313424691e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.589292246274055017e-34 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.862807365832878170e-34 5.272636732103704732e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.266416643727821978e-02 1.235844092041142768e-03 1.755512217883850590e-01 0.000000000000000000e+00 9.994297634442879108e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.175434591648847910e-03 -6.057419558524182976e-07 0.000000000000000000e+00 -6.057419558524182976e-07 5.780802944012516667e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.421723482814727972e-04 1.034839251931167770e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.784493906250171791e-01 2.349691602495417031e-02 1.687639485628807390e-01 0.000000000000000000e+00 9.971438650186219554e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.121804571121234925e-02 -8.522579081274766826e-05 0.000000000000000000e+00 -8.522579081274766826e-05 3.693668151353023086e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.336862062457270697e-03 4.958516981417303571e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.315853268928576902e+00 1.532313600365771411e-01 1.592160108745447888e-01 0.000000000000000000e+00 9.904854461645624664e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.344859287599062869e-01 -1.836236682518294040e-03 0.000000000000000000e+00 -1.836236682518294040e-03 1.687048527313747049e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.228386821898568793e-02 1.326952379988116659e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.612994276497791812e+00 5.464409640322900330e-01 1.476758048727285777e-01 0.000000000000000000e+00 9.698453127444616184e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.030042061102461215e-01 -1.443729770925802035e-02 0.000000000000000000e+00 -1.443729770925802035e-02 1.881702252633988019e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.569683248142247078e-01 2.599286654157480392e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.366573550071814580e+00 1.330157653557624720e+00 1.312656571739822253e-01 0.000000000000000000e+00 9.124168730644147685e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.313568707715155881e+00 -6.125843160568498341e-02 0.000000000000000000e+00 -6.125843160568498341e-02 9.682968084469854853e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.131277127299585961e-01 4.252806008662778581e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.572131421652430028e+00 2.398127713337615763e+00 1.185824144655665269e-01 0.000000000000000000e+00 7.974433949259212007e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.281139627992105012e+00 -1.645259902406628894e-01 0.000000000000000000e+00 -1.645259902406628894e-01 3.104477751788730158e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.911807223701867842e-01 6.140984944919948063e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.224058760243272204e+00 3.380794604572743278e+00 1.171401864156214334e-01 0.000000000000000000e+00 6.367283384602130392e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.050190367179159701e+00 -3.123678937631095276e-01 0.000000000000000000e+00 -3.123678937631095276e-01 7.316598711069011163e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.700904520324049152e-01 8.037319953444637122e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.231561123688027060e+01 3.971001295044270130e+00 1.178232116311931643e-01 0.000000000000000000e+00 4.705345750609863931e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.998169300065741005e+00 -4.630725617252414161e-01 0.000000000000000000e+00 -4.630725617252414161e-01 1.395668125823061878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.371159630122438911e-01 9.733350965182866688e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.583892647667541986e+01 4.135840731978301932e+00 1.127427340978710557e-01 0.000000000000000000e+00 3.321624762692185207e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.087461053574458880e+00 -5.827977012925378286e-01 0.000000000000000000e+00 -5.827977012925378286e-01 2.279146587621944109e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.779160784082548963e-01 1.112718339515147292e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.978504405425227120e+01 4.008764069368428551e+00 1.025357085162801885e-01 0.000000000000000000e+00 2.314575880819907394e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.615725504926781575e+00 -6.620379318499212129e-01 0.000000000000000000e+00 -6.620379318499212129e-01 3.300060469979135824e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.081951174742894928e+00 1.222048328489140268e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.414392828172205085e+01 3.738523034669601230e+00 8.996915637314145675e-02 0.000000000000000000e+00 1.631749439551858083e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.895781947952611901e+00 -7.064358337372721452e-01 0.000000000000000000e+00 -7.064358337372721452e-01 4.343428110358217853e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.149512335600586965e+00 1.306598871549439522e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.890449373124580035e+01 3.427503376492716303e+00 7.701452081905599267e-02 0.000000000000000000e+00 1.182606312630076206e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.136310662215882950e+00 -7.253071180724344202e-01 0.000000000000000000e+00 -7.253071180724344202e-01 5.299066871334678908e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.187698598269486983e+00 1.372543969746727122e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.405463342727446729e+01 3.127382383645552544e+00 6.491948729854524203e-02 0.000000000000000000e+00 8.907073517406122187e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.439651683136094817e+00 -7.262894066615304123e-01 0.000000000000000000e+00 -7.262894066615304123e-01 6.087874505136930958e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.204068969179129978e+00 1.425212856431824093e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.958124963676868902e+01 2.856523583582340819e+00 5.435502638242177553e-02 0.000000000000000000e+00 6.999151356995704509e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.841563803636606877e+00 -7.147279291274065693e-01 0.000000000000000000e+00 -7.147279291274065693e-01 6.668335126971232096e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.202109939818581053e+00 1.468687555143658230e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.547028717909350348e+01 2.619181495518179581e+00 4.549152300765814394e-02 0.000000000000000000e+00 5.729749118355985382e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.348114353008087907e+00 -6.944656354504497031e-01 0.000000000000000000e+00 -6.944656354504497031e-01 7.029544980163210388e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.185013911058321101e+00 1.505845834591002941e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.170676917087474322e+01 2.412145406563070971e+00 3.822713169502236358e-02 0.000000000000000000e+00 4.869420324657508514e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.949169988986604984e+00 -6.680053779441206263e-01 0.000000000000000000e+00 -6.680053779441206263e-01 7.189229668705404697e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.154486440940021952e+00 1.538679962085806352e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.827483511491153223e+01 2.228334520545869335e+00 3.229421953704482429e-02 0.000000000000000000e+00 4.270108638936186141e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.624840453021476172e+00 -6.371120844462484500e-01 0.000000000000000000e+00 -6.371120844462484500e-01 7.184637572275535122e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.112131311526296074e+00 1.568547136770838080e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.515778123627788432e+01 2.061615453121955266e+00 2.745378019383977117e-02 0.000000000000000000e+00 3.838775567968261138e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.356563806920857207e+00 -6.029731175551688027e-01 0.000000000000000000e+00 -6.029731175551688027e-01 7.053598573623027779e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.060314641868135066e+00 1.596357913411750040e+01 0.000000000000000000e+00 0.000000000000000000e+00
7.233810296303151688e+01 1.908247303441301224e+00 2.345602988618106233e-02 0.000000000000000000e+00 3.499055831004233702e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.131266608674302176e+00 -5.666650913963454661e-01 0.000000000000000000e+00 -5.666650913963454661e-01 6.829581805999712651e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.001499303951455033e+00 1.622643932186109694e+01 0.000000000000000000e+00 0.000000000000000000e+00
7.979753944349378969e+01 1.765416443970276195e+00 2.015794733270289546e-02 0.000000000000000000e+00 3.219918488648028376e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.937671653776618097e+00 -5.288039485356459402e-01 0.000000000000000000e+00 -5.288039485356459402e-01 6.543654257191727774e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.382206840958312588e-01 1.647655585268723399e+01 0.000000000000000000e+00 0.000000000000000000e+00
8.751711998688503513e+01 1.630343427121295985e+00 1.738505414767027232e-02 0.000000000000000000e+00 2.984707217246827110e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.765557136750550038e+00 -4.891682829628359874e-01 0.000000000000000000e+00 -4.891682829628359874e-01 6.219792445238524481e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.727530610721899729e-01 1.671572600555502675e+01 0.000000000000000000e+00 0.000000000000000000e+00
9.547721230920903679e+01 1.501050121837117945e+00 1.503307709954387547e-02 0.000000000000000000e+00 2.767485318590480470e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.608106106913973044e+00 -4.480411894123139116e-01 0.000000000000000000e+00 -4.480411894123139116e-01 5.878757343178993011e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.057035406618086038e-01 1.694452392075747582e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.036575724616875931e+02 1.377406392251459444e+00 1.302567465240547957e-02 0.000000000000000000e+00 2.552198565083790838e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.461472709454183061e+00 -4.055493911609467927e-01 0.000000000000000000e+00 -4.055493911609467927e-01 5.535362552152869320e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.393711234520630171e-01 1.716201285017627853e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.120373963147696941e+02 1.259342656154500251e+00 1.131001166475159234e-02 0.000000000000000000e+00 2.339672513880559565e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.323410189059603059e+00 -3.618080560955028169e-01 0.000000000000000000e+00 -3.618080560955028169e-01 5.199861330288058081e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.748791394368789387e-01 1.736687173572556020e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.205953724667802049e+02 1.147087894244130934e+00 9.850349542072436848e-03 0.000000000000000000e+00 2.123304092943831614e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.191900418256977900e+00 -3.169749841707907856e-01 0.000000000000000000e+00 -3.169749841707907856e-01 4.882190760212318237e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.135240905866135019e-01 1.755785912289411499e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.293097364426540139e+02 1.041908780032297921e+00 8.615815847974814257e-03 0.000000000000000000e+00 1.888567267882849260e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.067285373479033961e+00 -2.713932386017218756e-01 0.000000000000000000e+00 -2.713932386017218756e-01 4.592791073977225969e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.566262963414628784e-01 1.773274451998377543e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.381583260449166914e+02 9.454233352772918320e-01 7.602973979972444188e-03 0.000000000000000000e+00 1.632935576743194117e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.510615443652650214e-01 -2.253727999477634081e-01 0.000000000000000000e+00 -2.253727999477634081e-01 4.342794550312024104e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.046851337560492867e-01 1.788865108977782015e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.471186377161457131e+02 8.602212058954848972e-01 6.791081697112822356e-03 0.000000000000000000e+00 1.350205475222737012e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.454806363459527185e-01 -1.789831933863726965e-01 0.000000000000000000e+00 -1.789831933863726965e-01 4.137114195117813087e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.601442053661369269e-01 1.802247346477542678e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.561678837695700111e+02 7.897169401664674293e-01 6.158973490619610788e-03 0.000000000000000000e+00 1.033294294142452809e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.556501883031875311e-01 -1.323373990722959137e-01 0.000000000000000000e+00 -1.323373990722959137e-01 3.977920048104151007e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.246495955335293226e-01 1.813053408756051255e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.652830503422634081e+02 7.373831581780769806e-01 5.723452115588504446e-03 0.000000000000000000e+00 6.874419193183389960e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.878334025756789316e-01 -8.551772378290363463e-02 0.000000000000000000e+00 -8.551772378290363463e-02 3.867052807121916791e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.986304651355703221e-01 1.820910001925584254e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.744409559235436973e+02 7.063936585846136706e-01 5.476663979688479317e-03 0.000000000000000000e+00 3.183824143743408264e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.469951284853208140e-01 -3.880604703022857288e-02 0.000000000000000000e+00 -3.880604703022857288e-02 3.803884248621026143e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.836717611745724121e-01 1.825530009269433407e+01 0.000000000000000000e+00 0.000000000000000000e+00
