# y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33
3.315855611883717496e-02 4.142070000000000300e-03 3.223660000000000192e+00 0.000000000000000000e+00 9.293970000000000198e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.926173837323054416e-04 -3.738331973468677572e-08 0.000000000000000000e+00 -3.738331973468677572e-08 1.889707154096499542e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.329684834912880328e-05
9.991879495586197812e-02 3.363080000000000062e-03 2.341340000000000199e+00 0.000000000000000000e+00 9.254600000000000648e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.746378557524923833e-03 -1.029529698970277298e-06 0.000000000000000000e+00 -1.029529698970277298e-06 1.526363051267815414e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.439729085617171516e-04
1.675716902659969143e-01 2.783690000000000123e-03 1.728860000000000063e+00 0.000000000000000000e+00 9.259860000000000468e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.904687940417921076e-03 -4.887390556770469682e-06 0.000000000000000000e+00 -4.887390556770469682e-06 1.182466535685030488e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.057957154512593274e-03
2.361287479329460259e-01 2.355949999999999885e-03 1.298810000000000020e+00 0.000000000000000000e+00 9.262810000000000343e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.725185558638476530e-03 -1.376141713651567491e-05 0.000000000000000000e+00 -1.376141713651567491e-05 4.564523775047757136e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.018363053229246154e-03
3.056022742497145339e-01 2.045550000000000146e-03 9.936160000000000547e-01 0.000000000000000000e+00 9.263330000000000553e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.626766408151594789e-02 -3.001802645116345017e-05 0.000000000000000000e+00 -3.001802645116345017e-05 1.253683433593847493e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.617949096036390352e-03
3.760042753558197615e-01 1.827709999999999968e-03 7.747530000000000250e-01 0.000000000000000000e+00 9.261150000000000659e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.459398224476241554e-02 -5.625184240038889351e-05 0.000000000000000000e+00 -5.625184240038889351e-05 2.811496178325717628e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.849078869710356510e-03
4.473477579024053852e-01 1.684340000000000099e-03 6.161299999999999555e-01 0.000000000000000000e+00 9.255759999999999366e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.476818294939779119e-02 -9.529681181549348116e-05 0.000000000000000000e+00 -9.529681181549348116e-05 5.512044895799624333e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.370378356300865595e-02
5.196447280289887560e-01 1.602160000000000042e-03 4.998759999999999870e-01 0.000000000000000000e+00 9.246420000000000528e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.685617168935858612e-02 -1.502382490575948539e-04 0.000000000000000000e+00 -1.502382490575948539e-04 9.817105047905566085e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.817363690212517660e-02
5.929081923867134396e-01 1.571300000000000084e-03 4.136500000000000177e-01 0.000000000000000000e+00 9.232049999999999557e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.092592746473717708e-02 -2.244223741623249300e-04 0.000000000000000000e+00 -2.244223741623249300e-04 1.627227901553207290e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.324988042431321358e-02
6.671501571150969534e-01 1.584319999999999956e-03 3.488729999999999887e-01 0.000000000000000000e+00 9.211230000000000473e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.704703401967538667e-02 -3.214651188706092104e-04 0.000000000000000000e+00 -3.214651188706092104e-04 2.550616889610000631e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.892327680761897987e-02
