# y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33
6.610941800042739735e-02 3.320670000000000048e-07 5.006569999999999770e-02 0.000000000000000000e+00 9.636220000000000141e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.159731384088311648e-04 -3.100101864204144746e-07 0.000000000000000000e+00 -3.100101864204144746e-07 3.286131044577484938e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.591058632136232736e-04
1.992117316014098138e-01 5.951280000000000070e-08 1.562129999999999899e-03 0.000000000000000000e+00 9.635590000000000543e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.386418473112311978e-03 -8.598254932197479703e-06 0.000000000000000000e+00 -8.598254932197479703e-06 2.597521729497553566e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.155658701997181726e-03
3.340937668434711405e-01 9.179120000000000207e-08 8.176089999999999573e-04 0.000000000000000000e+00 9.634969999999999857e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.071592782273143363e-02 -4.108498993493470657e-05 0.000000000000000000e+00 -4.108498993493470657e-05 1.969087206200730174e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.588753029812950038e-03
4.707784634249664868e-01 2.902999999999999988e-07 1.220790000000000026e-03 0.000000000000000000e+00 9.634340000000000259e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.102530516060416688e-02 -1.163659878707204079e-04 0.000000000000000000e+00 -1.163659878707204079e-04 7.437430766189773649e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.650145435645104797e-02
6.092903568493539535e-01 7.456770000000000140e-07 1.779519999999999930e-03 0.000000000000000000e+00 9.633700000000000330e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.854612920190128467e-02 -2.551462234049791267e-04 0.000000000000000000e+00 -2.551462234049791267e-04 1.998390395943119892e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.674180322995150030e-02
7.496533841931777298e-01 1.587640000000000100e-06 2.409310000000000011e-03 0.000000000000000000e+00 9.633039999999999736e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.035168975047001255e-01 -4.802181392749649627e-04 0.000000000000000000e+00 -4.802181392749649627e-04 4.384328131652461365e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.916238594171553983e-02
8.918934772893613028e-01 2.969769999999999944e-06 3.093069999999999847e-03 0.000000000000000000e+00 9.632340000000000657e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.461793939015955113e-01 -8.163916002034914783e-04 0.000000000000000000e+00 -8.163916002034914783e-04 8.407088233626083059e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.362032950542094945e-02
1.036034573214448917e+00 5.067370000000000409e-06 3.824549999999999911e-03 0.000000000000000000e+00 9.631550000000000011e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.967729863138216184e-01 -1.290363258382867286e-03 0.000000000000000000e+00 -1.290363258382867286e-03 1.464586874128921516e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.997686400303620990e-02
1.182102603801363561e+00 8.077419999999999652e-06 4.600589999999999888e-03 0.000000000000000000e+00 9.630610000000000070e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.555298272557774419e-01 -1.930539493613215619e-03 0.000000000000000000e+00 -1.930539493613215619e-03 2.374218565793093029e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.809745755014491975e-02
1.330121506126650255e+00 1.221889999999999917e-05 5.419379999999999684e-03 0.000000000000000000e+00 9.629439999999999600e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.226682431862672451e-01 -2.766799531808206321e-03 0.000000000000000000e+00 -2.766799531808206321e-03 3.639455290856296503e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.078516232799481001e-01
