# y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
0.000000000000000000e+00 1.067173904800711171e-08 3.154623880982398987e-02 8.657075909468403552e-07 5.001038551330565696e+01 2.339968887099530548e-05 -2.602834392462227697e-09 4.953655672539081234e-06 -3.666429826409967063e-09 9.700256669020724727e-07 -1.381602659821510315e-01 -4.708586857304891395e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.102806347231804247e-38 2.056787052424624291e-04 2.040707706985056547e-11 -5.682144887941832316e-07
8.226309902966022491e-03 3.575725434264616386e-08 3.152240067720413208e-02 1.742927565828722436e-06 5.001021321614582860e+01 4.690915981579260618e-05 -8.715193899888618034e-09 9.909484416587935690e-06 -1.226885733747925053e-08 1.941586560860740189e-06 -1.381240586439768381e-01 -9.432775186724017623e-06 2.971664514461735962e-08 -1.440994784433768938e-12 -7.118213657397731708e-11 -1.440994784433768938e-12 1.797894134391848746e-15 1.562544547689583702e-14 -7.118213657397731708e-11 1.562544547689583702e-14 1.297031104741108720e-08 4.123501615443577188e-04 6.826677533452081591e-11 -1.138974046928827425e-06
1.651223190128803253e-02 1.699082344449228130e-07 3.145420923829078674e-02 4.304357200150358081e-06 5.000970331827799242e+01 1.147103988235660958e-04 -4.134214866742998173e-08 2.411296585099383455e-05 -5.813210772013613402e-08 4.730603905045427382e-06 -1.380199988683064594e-01 -2.303011509260007378e-05 1.197060441882058512e-07 -1.166239067124097417e-11 -2.867708015497072438e-10 -1.166239067124097417e-11 2.910909360775981725e-14 1.262274247799954896e-13 -2.867708015497072438e-10 1.262274247799954896e-13 5.215049370121960237e-08 1.008513451476270809e-03 3.234128832796389668e-10 -2.784537514344265219e-06
3.576656430959701538e-02 4.796427859332652588e-07 3.136624520023663376e-02 7.721540062751348243e-06 5.000903574625650805e+01 2.033744676737114787e-04 -1.165149866958851425e-07 4.249593985150568187e-05 -1.636643111406025646e-07 8.349650367260133904e-06 -1.378847261269887103e-01 -4.075354384743452862e-05 5.613887310573772993e-07 -1.187442782990544288e-10 -1.345225375537495438e-09 -1.187442782990544288e-10 6.369969655917184781e-13 1.278842916979661126e-12 -1.345225375537495438e-09 1.278842916979661126e-12 2.435165242786752060e-07 1.788396019643793359e-03 9.105327094157307284e-10 -4.935376561358376462e-06
5.502090230584144592e-02 1.259014292524322183e-06 3.123462200164794575e-02 1.308799043423884012e-05 5.000799306233723485e+01 3.387353062862530351e-04 -3.049909788425490004e-07 7.013844272781473443e-05 -4.277236674473290931e-07 1.381060459001067292e-05 -1.376800437768300189e-01 -6.768579745160725758e-05 1.327664904238190502e-06 -4.329654412771333227e-10 -3.182257124478837795e-09 -4.329654412771333227e-10 3.544925420914668557e-12 4.639412118367935989e-12 -3.182257124478837795e-09 4.639412118367935989e-12 5.734258934353420045e-07 2.979692731363077669e-03 2.380233362260971062e-09 -8.216684970345037114e-06
8.798575401306152344e-02 2.645806451558503816e-06 3.108185715973377228e-02 1.968959077203180641e-05 5.000674057006835227e+01 4.998233343940228224e-04 -6.389675064610855770e-07 1.024267524674845193e-04 -8.944252935331556981e-07 2.021324144152458757e-05 -1.374390920003255023e-01 -9.956002031685784459e-05 3.393280167074408382e-06 -1.776785940599268088e-09 -8.137061691115832218e-09 -1.776785940599268088e-09 2.295875121960389009e-11 1.887217292162457483e-11 -8.137061691115832218e-09 1.887217292162457483e-11 1.454782363907725085e-06 4.398486344143748283e-03 4.977724787913473392e-09 -1.211839101718699757e-05
1.208909898996353149e-01 5.330287194738048129e-06 3.088191710412502289e-02 2.896921978390309960e-05 5.000499598185220407e+01 7.175303374727566314e-04 -1.281634600521404769e-06 1.450516356271691620e-04 -1.789726582046569092e-06 2.869642473039372288e-05 -1.371179620424906320e-01 -1.423520880052819848e-04 6.401340669981436804e-06 -4.622921156993697878e-09 -1.535799221130673686e-08 -4.622921156993697878e-09 8.099661913396616342e-11 4.870642431042959686e-11 -1.535799221130673686e-08 4.870642431042959686e-11 2.724236992435180582e-06 6.318059439460435925e-03 9.966020453333612750e-09 -1.738635637593688443e-05
1.701892465353012085e-01 9.493053160743631535e-06 3.066246087352434563e-02 3.999844011559616774e-05 5.000292078653971117e+01 9.657358556675413883e-04 -2.271276002829836216e-06 1.923702560209979433e-04 -3.163230568740497357e-06 3.813566945609636605e-05 -1.367576867341995239e-01 -1.907939101026082942e-04 1.267340849153697491e-05 -1.295873364171029607e-08 -3.042848817358390079e-08 -1.295873364171029607e-08 3.134059400888844493e-10 1.347936623430356917e-10 -3.042848817358390079e-08 1.347936623430356917e-10 5.334256911737611517e-06 8.509687613695859909e-03 1.762525917807048631e-08 -2.338624532664349698e-05
2.194874882698059082e-01 1.647641056479187682e-05 3.039665396014849114e-02 5.460248818659844272e-05 5.000009791056314867e+01 1.280355073201159492e-03 -3.916169210545679582e-06 2.505679876776412129e-04 -5.436261517388629727e-06 4.973999481687010915e-05 -1.363097429275512695e-01 -2.517475950298830867e-04 2.105786006723064929e-05 -2.792184083943993755e-08 -5.060054775185562903e-08 -2.792184083943993755e-08 8.539752793801369535e-10 2.869597615084984454e-10 -5.060054775185562903e-08 2.869597615084984454e-10 8.765967322688084096e-06 1.129329328735669338e-02 3.032999155531494056e-08 -3.098428715020418167e-05
2.879208624362945557e-01 2.642883070317717664e-05 3.011610607306162285e-02 7.154625200200825930e-05 4.999665578206379735e+01 1.630087577116986043e-03 -6.235697280014088434e-06 3.132196240282306707e-04 -8.627365938688550201e-06 6.217678916679383904e-05 -1.358224948247273578e-01 -3.190316104640563148e-04 3.618785194703377783e-05 -6.341556968436634634e-08 -8.705796972208190709e-08 -6.341556968436634634e-08 2.476465477130318504e-09 6.408460428986018087e-10 -8.705796972208190709e-08 6.408460428986018087e-10 1.483547293901210651e-05 1.439559676994879925e-02 4.823100023069552139e-08 -3.942379347184517280e-05
3.563542068004608154e-01 4.165602877037599683e-05 2.979464828968047749e-02 9.299491406030331597e-05 4.999190012613932055e+01 2.055213437415659428e-03 -9.737559291049061399e-06 3.869027229181180036e-04 -1.342235039677082758e-05 7.663713283060738534e-05 -1.352446923653284616e-01 -4.003328698066373485e-04 5.536396929528564215e-05 -1.209533166957044159e-07 -1.333475125875338563e-07 -1.209533166957044159e-07 5.691863425028031997e-09 1.201809207707071891e-09 -1.333475125875338563e-07 1.201809207707071891e-09 2.235283500340301543e-05 1.818001891175905632e-02 7.529672885198124277e-08 -4.967905139589370877e-05
4.466051757335662842e-01 6.212469816091470420e-05 2.946619565288225578e-02 1.172186215020095128e-04 4.998583348592121922e+01 2.518905404334266691e-03 -1.437189500090122787e-05 4.648269483974823988e-04 -1.973528196685947478e-05 9.160180585846924872e-05 -1.346312661965687885e-01 -4.886679525952786207e-04 8.681877079652622342e-05 -2.399037555278482614e-07 -2.094329403234951315e-07 -2.399037555278482614e-07 1.366508239897257226e-08 2.331613346839844780e-09 -2.094329403234951315e-07 2.331613346839844780e-09 3.435543112573213875e-05 2.232652343809604645e-02 1.112113352519372579e-07 -6.086744057635466032e-05
5.367965698242187500e-01 9.148073392376923651e-05 2.910555961231390404e-02 1.465938524537098724e-04 4.997717157999673532e+01 3.065481238688031688e-03 -2.089433443567637749e-05 5.542046759122361017e-04 -2.857623985619284213e-05 1.081704661676970576e-04 -1.339289297660191669e-01 -5.926805509564776493e-04 1.252360671060159802e-04 -4.195598251044430071e-07 -3.026126762506464729e-07 -4.195598251044430071e-07 2.775065333082693542e-08 3.992634223237701008e-09 -3.026126762506464729e-07 3.992634223237701008e-09 4.857399835600517690e-05 2.724399417638778687e-02 1.621166134668783343e-07 -7.407286830130033195e-05
6.515476107597351074e-01 1.293099242805813569e-04 2.874612373610337460e-02 1.787390889755139658e-04 4.996567153930664062e+01 3.652732896928985624e-03 -2.911720973012658231e-05 6.483829153391221798e-04 -3.966559779655653983e-05 1.247115821267167637e-04 -1.331967463095982684e-01 -7.047749822959303856e-04 1.841605553636327386e-04 -7.567207376268925145e-07 -4.458583759969769744e-07 -7.567207376268925145e-07 5.819870452228315116e-08 7.010118263650610970e-09 -4.458583759969769744e-07 7.010118263650610970e-09 6.963996565900743008e-05 3.256854849557081627e-02 2.269601679927291116e-07 -8.829817428098370180e-05
7.662986516952514648e-01 1.796057864946002671e-04 2.837077404061952995e-02 2.151970547856763005e-04 4.994942220052082860e+01 4.313210335870583563e-03 -3.978446147812064737e-05 7.531872640053430832e-04 -5.399490207006843478e-05 1.418332152146224994e-04 -1.323968321084976196e-01 -8.317442261613905430e-04 2.542935253586620092e-04 -1.240843403138569556e-06 -6.168780259940831456e-07 -1.240843403138569556e-06 1.075840785347281781e-07 1.120356873940409059e-08 -6.168780259940831456e-07 1.120356873940409059e-08 9.376188972964882851e-05 3.861618911226590012e-02 3.124948619870338007e-07 -1.043686691749219912e-04
9.000059962272644043e-01 2.408722454371551311e-04 2.800861683984597408e-02 2.528469825241093654e-04 4.992796961466471117e+01 4.999207177509863882e-03 -5.241465017509956703e-05 8.623378040889898575e-04 -7.089843954114863366e-05 1.579679228598251939e-04 -1.315884987513224191e-01 -9.653227947031457496e-04 3.500556340441107750e-04 -2.027142272709170356e-06 -8.508130235895805527e-07 -2.027142272709170356e-06 1.967522536006072187e-07 1.777112679235415271e-08 -8.508130235895805527e-07 1.777112679235415271e-08 1.253606315003708005e-04 4.497618973255157471e-02 4.160294035197390511e-07 -1.211735385974558601e-04
1.033653736114501953e+00 3.178255768337597269e-04 2.764189740022023403e-02 2.927718354233850855e-04 4.989832433064778172e+01 5.741156172007322311e-03 -6.778583459284466550e-05 9.822562763777871204e-04 -9.142625155315423102e-05 1.736141954703877279e-04 -1.307335992654164447e-01 -1.112409324074784770e-03 4.608106974046677351e-04 -3.093696250289212912e-06 -1.121961417993588839e-06 -3.093696250289212912e-06 3.290108736564434366e-07 2.636988938320428133e-08 -1.121961417993588839e-06 2.636988938320428133e-08 1.603177515789866447e-04 5.196252713600794243e-02 5.458360021748376312e-07 -1.395267875826296526e-04
