# y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33
6.034700616944267855e-03 6.323900000000000134e-08 1.450909999999999977e-01 0.000000000000000000e+00 4.209109999999999729e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.990532966254920766e-06 -1.699538812826112999e-10 0.000000000000000000e+00 -1.699538812826112999e-10 6.103946006208632865e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.481608981527010135e-06
1.818474879917702028e-02 9.571370000000000625e-09 3.823140000000000045e-03 0.000000000000000000e+00 4.208800000000000097e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.530827039146535589e-05 -4.557750549170868144e-09 0.000000000000000000e+00 -4.557750549170868144e-09 8.017952107994717362e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.341326305494974585e-05
3.049725624380016792e-02 4.798270000000000223e-09 6.503810000000000060e-04 0.000000000000000000e+00 4.208489999999999753e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.274143013972535193e-04 -2.151453144023462477e-08 0.000000000000000000e+00 -2.151453144023462477e-08 6.799857107919829798e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.761528103924229803e-05
4.297431696730944634e-02 8.628389999999999814e-09 5.521490000000000425e-04 0.000000000000000000e+00 4.208189999999999742e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.529579848549452607e-04 -6.024199982672681537e-08 0.000000000000000000e+00 -6.024199982672681537e-08 2.711720719716023851e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.446782147057892816e-05
5.561817065691333078e-02 2.006580000000000158e-08 7.286589999999999907e-04 0.000000000000000000e+00 4.207900000000000063e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.236405638020270133e-04 -1.306916647029553581e-07 0.000000000000000000e+00 -1.306916647029553581e-07 7.581957360920299407e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.243587435878004146e-04
6.843100237330301816e-02 4.189609999999999887e-08 9.673769999999999505e-04 0.000000000000000000e+00 4.207609999999999673e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.412149615912153761e-04 -2.436052929245839656e-07 0.000000000000000000e+00 -2.436052929245839656e-07 1.731192814000388133e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.876831572135363095e-04
8.141517926556063323e-02 7.797899999999999966e-08 1.235549999999999973e-03 0.000000000000000000e+00 4.207319999999999993e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.074909808782053193e-04 -4.105620042321811097e-07 0.000000000000000000e+00 -4.105620042321811097e-07 3.455792332998465566e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.648444882899597631e-04
9.457288639437737288e-02 1.328550000000000074e-07 1.525029999999999919e-03 0.000000000000000000e+00 4.207039999999999935e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.224330169791618735e-03 -6.440223910128077836e-07 0.000000000000000000e+00 -6.440223910128077836e-07 6.268877458656507543e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.562526276601971900e-04
1.079064909088353480e-01 2.116749999999999946e-07 1.832889999999999997e-03 0.000000000000000000e+00 4.206770000000000209e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.593654388115083812e-03 -9.573816551112891001e-07 0.000000000000000000e+00 -9.573816551112891001e-07 1.058660680762341349e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.623261091069562085e-04
1.214181778696257902e-01 3.201949999999999896e-07 2.157720000000000124e-03 0.000000000000000000e+00 4.206499999999999773e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.017437833326099928e-03 -1.365021413252748193e-06 0.000000000000000000e+00 -1.365021413252748193e-06 1.690757256414020936e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.834889100163934660e-04
1.351106786026126938e-01 4.647979999999999775e-07 2.498709999999999907e-03 0.000000000000000000e+00 4.206230000000000047e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.497731878132642552e-03 -1.882381668606886998e-06 0.000000000000000000e+00 -1.882381668606886998e-06 2.582509048257712655e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.201775557323619433e-04
1.489861781684871933e-01 6.525170000000000453e-07 2.855330000000000108e-03 0.000000000000000000e+00 4.205969999999999942e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.036631875957066570e-03 -2.525987087062709128e-06 0.000000000000000000e+00 -2.525987087062709128e-06 3.803409999970464400e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.728310518134948116e-04
1.630472258047224177e-01 8.910770000000000322e-07 3.227230000000000203e-03 0.000000000000000000e+00 4.205720000000000169e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.636308571090472643e-03 -3.313538364176896854e-06 0.000000000000000000e+00 -3.313538364176896854e-06 5.434073950112679670e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.041899374599417017e-03
