# y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33
1.718689289004505794e-01 1.777139999999999938e-06 9.319639999999999869e-02 0.000000000000000000e+00 2.223470000000000084e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.862044492225237415e-03 -5.679342523864481164e-06 0.000000000000000000e+00 -5.679342523864481164e-06 1.503944653037008137e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.528024227450346561e-03
5.179036205479375932e-01 4.551379999999999824e-07 4.155459999999999710e-03 0.000000000000000000e+00 2.223350000000000080e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.285095790644043362e-02 -1.607312646539750620e-04 0.000000000000000000e+00 -1.607312646539750620e-04 1.149578101021455392e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.112829076001562431e-02
8.685651696303396951e-01 1.474500000000000028e-06 4.569059999999999788e-03 0.000000000000000000e+00 2.223189999999999884e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.477307555423405527e-01 -7.786532303500640290e-04 0.000000000000000000e+00 -7.786532303500640290e-04 8.135664337904635341e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.475892265408736914e-02
1.223913213964852087e+00 5.169999999999999628e-06 7.567879999999999920e-03 0.000000000000000000e+00 2.222930000000000064e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.915177961776784232e-01 -2.220861947767044289e-03 0.000000000000000000e+00 -2.220861947767044289e-03 2.870850507830115510e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.002935722911187377e-01
1.584011540086387893e+00 1.343589999999999955e-05 1.117819999999999925e-02 0.000000000000000000e+00 2.222359999999999900e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.847667971288793232e-01 -4.868101098151308807e-03 0.000000000000000000e+00 -4.868101098151308807e-03 7.212865480046735597e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.550980187673364763e-01
1.948922378760715723e+00 2.863799999999999923e-05 1.519880000000000016e-02 0.000000000000000000e+00 2.221069999999999993e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.271471768515390677e-01 -9.093302970104294794e-03 0.000000000000000000e+00 -9.093302970104294794e-03 1.481441883682089100e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.169602714164903245e-01
2.318713146650752233e+00 5.347660000000000228e-05 1.958810000000000065e-02 0.000000000000000000e+00 2.218309999999999889e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.017055479639030091e+00 -1.523060452610400239e-02 0.000000000000000000e+00 -1.523060452610400239e-02 2.661865778408121185e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.840326609817503400e-01
2.693446074522265921e+00 9.089070000000000038e-05 2.434110000000000093e-02 0.000000000000000000e+00 2.212909999999999968e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.351485267759668707e+00 -2.355346871538710127e-02 0.000000000000000000e+00 -2.355346871538710127e-02 4.350074717781392264e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.547921565267311839e-01
3.073188579038172996e+00 1.439110000000000118e-04 2.946239999999999970e-02 0.000000000000000000e+00 2.203199999999999932e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.725995922646362812e+00 -3.425711061471901908e-02 0.000000000000000000e+00 -3.425711061471901908e-02 6.623642315797373392e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.280009834708932703e-01
3.458002890964242848e+00 2.154319999999999933e-04 3.494980000000000309e-02 0.000000000000000000e+00 2.187119999999999891e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.134860360491286801e+00 -4.744663121407111106e-02 0.000000000000000000e+00 -4.744663121407111106e-02 9.548894517431570292e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.026629729327896090e-01
3.847966798757686213e+00 3.078959999999999943e-04 4.077780000000000293e-02 0.000000000000000000e+00 2.162390000000000043e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.571388906854892298e+00 -6.314046251616552141e-02 0.000000000000000000e+00 -6.314046251616552141e-02 1.318125164380035130e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.779994124682630297e-01
4.243142533184271592e+00 4.229179999999999919e-04 4.688160000000000244e-02 0.000000000000000000e+00 2.126889999999999930e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.028224929649629082e+00 -8.127149136629617521e-02 0.000000000000000000e+00 -8.127149136629617521e-02 1.756509830925629193e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.534045032297055577e-01
4.643602696804063790e+00 5.609210000000000324e-04 5.314760000000000317e-02 0.000000000000000000e+00 2.079130000000000109e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.497790959477809825e+00 -1.017006291590540623e-01 0.000000000000000000e+00 -1.017006291590540623e-01 2.273505986799630868e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.284188069431852819e-01
5.049409520382830863e+00 7.208940000000000270e-04 5.941470000000000085e-02 0.000000000000000000e+00 2.018640000000000043e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.972547891060330461e+00 -1.242268780276873791e-01 0.000000000000000000e+00 -1.242268780276873791e-01 2.871647774617403295e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.027023017112676628e-01
5.460645978274930812e+00 9.003690000000000391e-04 6.548800000000000454e-02 0.000000000000000000e+00 1.946179999999999950e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.445427027273583853e+00 -1.486060410832764911e-01 0.000000000000000000e+00 -1.486060410832764911e-01 3.552714836511079027e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.760070706381609673e-01
