# y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33
1.801232863186968611e-02 3.701079999999999821e-03 2.722799999999999887e+00 0.000000000000000000e+00 5.751530000000000342e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.309286856000909100e-05 -5.707243012448085483e-09 0.000000000000000000e+00 -5.707243012448085483e-09 1.467141131116437911e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.193611459284103629e-05
5.427770029536812396e-02 3.198519999999999835e-03 2.177880000000000038e+00 0.000000000000000000e+00 5.739390000000000214e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.817307717275222021e-04 -1.566651166678318024e-07 0.000000000000000000e+00 -1.566651166678318024e-07 1.196496279675662820e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.974062180153861128e-04
9.102797913309332301e-02 2.787580000000000006e-03 1.754429999999999934e+00 0.000000000000000000e+00 5.740440000000000254e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.353887535876023909e-03 -7.413605359452187807e-07 0.000000000000000000e+00 -7.413605359452187807e-07 9.360423325830345870e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.502095914073111072e-04
1.282694153495999023e-01 2.452499999999999819e-03 1.423789999999999889e+00 0.000000000000000000e+00 5.741199999999999903e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.686310370915011726e-03 -2.081011113162970448e-06 0.000000000000000000e+00 -2.081011113162970448e-06 3.649236228343311566e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.082545252978644621e-03
1.660086939462810385e-01 2.180790000000000159e-03 1.164430000000000076e+00 0.000000000000000000e+00 5.741649999999999920e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.496290637980283195e-03 -4.525841185731125532e-06 0.000000000000000000e+00 -4.525841185731125532e-06 1.012299227700496387e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.796564732458162976e-03
2.042523368757153956e-01 1.962429999999999817e-03 9.601060000000000150e-01 0.000000000000000000e+00 5.741790000000000305e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.801658713974947229e-03 -8.456877443951799802e-06 0.000000000000000000e+00 -8.456877443951799802e-06 2.293304802248065911e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.694360459084362350e-03
2.430074095865299433e-01 1.789419999999999900e-03 7.984299999999999731e-01 0.000000000000000000e+00 5.741570000000000107e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.620837112807237648e-03 -1.428792775969321307e-05 0.000000000000000000e+00 -1.428792775969321307e-05 4.541417605282875611e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.777976378349651686e-03
2.822804340313034288e-01 1.655299999999999957e-03 6.699420000000000375e-01 0.000000000000000000e+00 5.740959999999999752e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.297278425093161339e-02 -2.246725203158656288e-05 0.000000000000000000e+00 -2.246725203158656288e-05 8.172573371756499919e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.049380047734675601e-03
3.220784756586625996e-01 1.554899999999999902e-03 5.673620000000000330e-01 0.000000000000000000e+00 5.739900000000000091e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.687707862867644099e-02 -3.348007265318321795e-05 0.000000000000000000e+00 -3.348007265318321795e-05 1.368698840179452130e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.510482414984593291e-03
3.624080564211863975e-01 1.484019999999999957e-03 4.850689999999999724e-01 0.000000000000000000e+00 5.738309999999999889e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.135383443631454561e-02 -4.785013624011715363e-05 0.000000000000000000e+00 -4.785013624011715363e-05 2.167706100387884882e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.163101159159686163e-03
